percent,パーセント
manner,マナー
sense,センス
clinic,クリニック
studio,スタジオ
touch,タッチ
microphon,マイク
inch,インチ
couple,カップル
poster,ポスター
lobby,ロビー
handle,ハンドル
multi,マルチ
lucky,ラッキー
salon,サロン
dome,ドーム
jazz,ジャズ
micro,マイクロ
excel,エクセル
mechanism,メカニズム
bell,ベル
appeal,アピール
get,ゲット
eye,アイ
campaign,キャンペーン
stock,ストック
silver,シルバー
artist,アーチスト
lamp,ランプ
department,デパート
gold,ゴールド
single,シングル
credit,クレジット
shift,シフト
rear,リア
goods,グッズ
relax,リラックス
living,リビング
lease,リース
calcium,カルシウム
grand,グランド
performance,パフォーマンス
hot,ホット
match,マッチ
technic,テクニック
inflation,インフレ
eco,エコ
chocolate,チョコ
shopping,ショッピング
plate,プレート
auto,オート
database,データーベース
rope,ロープ
column,コラム
lymph,リンパ
straight,ストレート
major,メジャー
go,ゴー
label,ラベル
tag,タグ
mister,ミスター
seven,セブン
tea,ティー
talent,タレント
cancel,キャンセル
macro,マクロ
at,アット
weight,ウエート
zone,ゾーン
stop,ストップ
mask,マスク
rental,レンタル
night,ナイト
fruit,フルーツ
gray,グレー
lady,レディー
dialogue,ダイアローグ
curve,カーブ
knit,ニット
special,スペシャル
banana,バナナ
arrange,アレンジ
tent,テント
rival,ライバル
kop,コップ
town,タウン
brush,ブラシ
object,オブジェクト
battery,バッテリー
turn,ターン
package,パッケージ
antenna,アンテナ
filter,フィルター
layout,レイアウト
boss,ボス
font,フォント
rank,ランク
gallery,ギャラリー
order,オーダー
round,ラウンド
writer,ライター
shutter,シャッター
van,バン
jet,ジェット
lion,ライオン
saint,セント
pause,ポーズ
printer,プリンター
impact,インパクト
doctor,ドクター
desk,デスク
diamond,ダイヤモンド
jeans,ジーンズ
classic,クラシック
designer,デザイナー
icon,アイコン
or,オア
fork,フォーク
ground,グラウンド
dessert,デザート
claim,クレーム
scale,スケール
deck,デッキ
oven,オーブン
motor,モーター
necklace,ネックレス
screen,スクリーン
counseling,カウンセリング
position,ポジション
light,ライト
last,ラスト
olive,オリーブ
good,グッド
jump,ジャンプ
pride,プライド
airconditioner,エアコン
mile,マイル
genre,ジャンル
tab,タブ
gate,ゲート
boots,ブーツ
resort,リゾート
three,スリー
station,ステーション
sample,サンプル
vision,ビジョン
pomp,ポンプ
privacy,プライバシー
error,エラー
swing,スイング
demo,デモ
bit,ビット
way,ウエー
katholiek,カトリック
junior,ジュニア
cool,クール
pamphlet,パンフレット
king,キング
helicopter,ヘリコプター
elite,エリート
sound,サウンド
kit,キット
display,ディスプレー
ambodia,カボチャ
catch,キャッチ
tube,チューブ
client,クライアント
merican,アメリカン
talk,トーク
register,レジ
sweet,スイート
symbol,シンボル
veranda,ベランダ
whisky,ウイスキー
cameraman,カメラマン
beach,ビーチ
tower,タワー
venture,ベンチャー
windows,ウィン
scenario,シナリオ
fund,ファンド
guideline,ガイドライン
browser,ブラウザ
mass,マス
category,カテ
journalist,ジャーナリスト
petit,プチ
catalog,カタログ
motif,モチーフ
walking,ウォーキング
spy,スパイ
dial,ダイヤル
fly,フライ
happy,ハッピー
floor,フロア
idol,アイドル
herb,ハーブ
street,ストリート
slide,スライド
dragon,ドラゴン
restructuring,リストラ
sensor,センサー
sub,サブ
name,ネーム
influenza,インフルエンザ
tempo,テンポ
magic,マジック
ran,ウラン
marathon,マラソン
combination,コンビ
pin,ピン
private,プライベート
port,ポート
bonus,ボーナス
spoon,スプーン
champion,チャンピオン
pasta,パスタ
compact,コンパクト
keyboard,キーボード
medal,メダル
botsat,ボサツ
veteran,ベテラン
passport,パスポート
jelly,ゼリー
solo,ソロ
for,フォー
concept,コンセプト
view,ビュー
target,ターゲット
la,ラ
unique,ユニーク
cloth,クロース
rocket,ロケット
seal,シール
call,コール
uro,ユーロ
money,マネー
store,ストア
speaker,スピーカー
pilot,パイロット
stretch,ストレッチ
unit,ユニット
melody,メロディー
roll,ロール
chicken,チキン
international,インターナショナル
casual,カジュアル
marketing,マーケティング
gym,ジム
summit,サミット
damage,ダメージ
amino,アミノ
ing,イング
pie,パイ
recreation,レクリエーション
audio,オーディオ
rider,ライダー
premium,プレミアム
logotype,ロゴ
golden,ゴールデン
handkerchief,ハンカチ
necktie,ネクタイ
music,ミュージック
modern,モダン
mother,マザー
local,ローカル
wrap,ラップ
eight,エイト
gun,ガン
hand,ハンド
shampoo,シャンプー
helper,ヘルパー
slow,スロー
atin,ラテン
water,ウォーター
cola,コーラ
cookie,クッキー
mineral,ミネラル
gap,ギャップ
host,ホスト
hedge,ヘッジ
ace,エース
spray,スプレー
wide,ワイド
dry,ドライ
muffler,マフラー
deologie,イデオロギー
wheel,ホイール
barrier,バリア
wire,ワイヤ
interior,インテリア
calendar,カレンダー
radar,レーダー
terminal,ターミナル
accent,アクセント
west,ウエスト
national,ナショナル
standard,スタンダード
reform,リフォーム
girl,ガール
ink,インク
backup,バックアップ
shoot,シュート
pair,ペア
garden,ガーデン
tiger,タイガー
roman,ロマン
drink,ドリンク
half,ハーフ
heel,ヒール
press,プレス
provider,プロバイダー
wagon,ワゴン
accessory,アクセサリー
analog,アナログ
guard,ガード
sky,スカイ
tree,ツリー
leadership,リーダーシップ
pot,ポット
identity,アイデンティティー
sandal,サンダル
total,トータル
mood,ムード
panic,パニック
layer,レイヤー
second,セカンド
release,リリース
orchestra,オーケストラ
section,セクション
yogurt,ヨーグルト
command,コマンド
akzin,ワクチン
stadium,スタジアム
tension,テンション
drum,ドラム
pearl,パール
bowl,ボウル
mix,ミックス
desktop,デスクトップ
me,ミー
clean,クリーン
punch,パンチ
hero,ヒーロー
cap,キャップ
skill,スキル
change,チェンジ
aluminium,アルミ
router,ルーター
essay,エッセー
core,コア
apple,アップル
megabyte,メガバイト
sale,セール
face,フェース
rice,ライス
pyramid,ピラミッド
pudding,プディング
recorder,レコーダー
script,スクリプト
meter,メーター
end,エンド
gourmet,グルメ
rain,レーン
dealer,ディーラー
simulation,シミュレーション
violin,バイオリン
com,コム
contents,コンテンツ
jam,ジャム
follow,フォロー
cast,キャスト
bat,バット
piment,ピーマン
royal,ロイヤル
coordinate,コーディネート
potato,ポテト
cooler,クーラー
do,ドゥー
beam,ビーム
pizza,ピザ
forum,フォーラム
chimchi,キムチ
powder,パウダー
producer,プロデューサー
stone,ストーン
a,ア
cross,クロス
diagram,ダイヤ
pop,ポップ
song,ソング
trend,トレンド
flower,フラワー
profile,プロフィール
cholesterol,コレステロール
insulin,インシュリン
contact,コンタクト
natrium,ナトリウム
quiz,クイズ
friend,フレンド
beige,ベージュ
flash,フラッシュ
infrastructure,インフラ
bio,バイオ
sharp,シャープ
sweater,セーター
pitch,ピッチ
silk,シルク
social,ソーシャル
dining,ダイニング
clip,クリップ
sexy,セクシー
coin,コイン
normal,ノーマル
technology,テクノロジー
drug,ドラッグ
pressure,プレッシャー
cushion,クッション
denim,デニム
maintenance,メンテナンス
wordprocessor,ワープロ
trade,トレード
queen,クイーン
pre,プレ
made,メード
regular,レギュラー
angel,エンジェル
symposium,シンポジウム
law,ロー
volt,ボルト
terrace,テラス
baton,バトン
bacon,ベーコン
sandwich,サンドイッチ
battle,バトル
cleaning,クリーニング
four,フォー
rehabilitation,リハビリ
ndian,インディアン
score,スコア
shoes,シューズ
visa,ビザ
festival,フェスティバル
spaghetti,スパゲッティ
graphic,グラフィック
hello,ハロー
is,イズ
ava,ジャバ
mayonnaise,マヨネーズ
kick,キック
coco,ココ
knock,ノック
patrol,パトロール
variety,バラエティー
comic,コミック
deflation,デフレ
zoom,ズーム
announcer,アナウンサー
gigabyte,ギガバイト
mystery,ミステリー
request,リクエスト
format,フォーマット
mission,ミッション
ten,テン
bucket,バケツ
post,ポスト
academy,アカデミー
tissue,ティッシュ
nuance,ニュアンス
beads,ビーズ
rally,ラリー
pallet,パレット
plant,プラント
amateur,アマチュア
pond,ポンド
drag,ドラッグ
be,ビー
bridge,ブリッジ
license,ライセンス
consultant,コンサルタント
tile,タイル
volley,バレー
mobile,モビール
animation,アニメーション
apron,エプロン
chat,チャット
blouse,ブラウス
break,ブレーク
method,メソッド
magazine,マガジン
guerrilla,ゲリラ
sunglasses,サングラス
trunk,トランク
ferry,フェリー
yoga,ヨーガ
natural,ナチュラル
variation,バリエーション
concours,コンクール
vector,ベクトル
penis,ペニス
lifestyle,ライフスタイル
modem,モデム
rail,レール
counselor,カウンセラー
seller,セラー
bay,ベイ
enaissance,ルネサンス
diesel,ディーゼル
express,エクスプレス
rush,ラッシュ
review,レビュー
chart,チャート
fond,フォン
silhouette,シルエット
romantic,ロマンチック
interface,インターフェース
direct,ダイレクト
try,トライ
contest,コンテスト
slice,スライス
neck,ネック
are,アール
smart,スマート
captain,キャプテン
walk,ウォーク
dressing,ドレッシング
hightechnology,ハイテク
par,パー
humor,ユーモア
lettuce,レタス
device,デバイス
document,ドキュメント
fiber,ファイバー
loop,ループ
non,ノン
arch,アーチ
gay,ゲイ
relay,リレー
circuit,サーキット
tone,トーン
entry,エントリー
packet,パケット
culture,カルチャー
company,カンパニー
dart,ダート
help,ヘルプ
sketch,スケッチ
mania,マニア
worker,ワーカー
director,ディレクター
demerit,デメリット
domain,ドメイン
close,クローズ
chef,シェフ
noise,ノイズ
hip,ヒップ
steak,ステーキ
stove,ストーブ
patrolcar,パトカー
ultra,ウルトラ
leisure,レジャー
answer,アンサー
pod,ポッド
strap,ストラップ
bath,バス
watch,ウォッチ
keep,キープ
account,アカウント
dinner,ディナー
dog,ドッグ
max,マックス
sponge,スポンジ
fur,ファー
eatles,ビートル
melon,メロン
sewingmachine,ミシン
less,レス
sponsor,スポンサー
dock,ドック
liver,レバー
supporter,サポーター
college,カレッジ
sector,セクター
self,セルフ
grip,グリップ
wave,ウエーブ
terrorist,テロリスト
location,ロケ
meeting,ミーティング
container,コンテナ
accelerater,アクセル
dream,ドリーム
navigation,ナビ
week,ウイーク
musician,ミュージシャン
hamburg,ハンバーグ
yacht,ヨット
spec,スペック
announcer,アナ
jungle,ジャングル
pistol,ピストル
rench,フレンチ
plug,プラグ
runner,ランナー
parade,パレード
moral,モラル
mall,モール
aluminium,アルミニウム
stick,スティック
sonata,ソナタ
taste,テースト
strike,スト
loss,ロス
autobicycle,オートバイ
sales,セールス
channel,チャン
anti,アンチ
yellow,イエロー
information,インフォメーション
cocktail,カクテル
corn,コーン
trick,トリック
through,スルー
are,アー
drop,ドロップ
alkali,アルカリ
veil,ベール
hawk,ホーク
rehabilitation,リハビリテーション
journalism,ジャーナリズム
aura,オーラ
cart,カート
snack,スナック
sausage,ソーセージ
return,リターン
under,アンダー
coil,コイル
dark,ダーク
pajamas,パジャマ
pinta,ピン
marine,マリン
complex,コンプレックス
dot,ドット
personal,パーソナル
flat,フラット
header,ヘッダー
slot,スロット
ballet,バレエ
science,サイエンス
hill,ヒル
fair,フェア
homo,ホモ
micro,ミクロ
hristao,キリシタン
count,カウント
bolt,ボルト
aesthetic,エステ
professionalwrestling,プロレス
mirror,ミラー
atelier,アトリエ
socks,ソックス
little,リトル
caramel,キャラメル
musical,ミュージカル
glove,グローブ
old,オールド
heroine,ヒロイン
vocal,ボーカル
rare,レア
ozone,オゾン
adult,アダルト
gear,ギヤ
task,タスク
outlook,アウトルック
alibi,アリバイ
summer,サマー
cassette,カセット
unday,サンデー
stance,スタンス
hoos,ホース
yard,ヤード
gum,ガム
senior,シニア
pad,パッド
extract,エキス
carbon,カーボン
nationalism,ナショナリズム
leather,レザー
stew,シチュー
kid,キッド
steel,スチール
dioxin,ダイオキシン
helmet,ヘルメット
active,アクティブ
speech,スピーチ
tournament,トーナメント
public,パブリック
right,ライト
refresh,リフレッシュ
lock,ロック
pinch,ピンチ
protocol,プロトコル
basic,ベーシック
cute,キュート
square,スクエア
pedal,ペダル
roentgen,レントゲン
scan,スキャン
ay,メイ
metal,メタル
dynamic,ダイナミック
megahertz,メガヘルツ
stamp,スタンプ
basket,バスケット
letter,レター
han,ハン
reflex,レフ
assessment,アセスメント
cosmos,コスモス
movie,ムービー
entertainment,エンターテインメント
bulb,バルブ
parameter,パラメーター
broadband,ブロードバンド
skate,スケート
pumps,パンプス
research,リサーチ
grade,グレード
slogan,スローガン
neuron,ニューロン
pulse,パルス
monitoring,モニタリング
rugby,ラグビー
rich,リッチ
gamble,ギャンブル
twin,ツイン
fit,フィット
sneaker,スニーカー
spa,スパ
opening,オープニング
curriculum,カリキュラム
pitcher,ピッチャー
commercial,コマーシャル
sea,シー
deep,ディープ
punk,パンク
fire,ファイア
cat,キャット
etcetra,エトセトラ
pea,ピー
explorer,エクスプローラー
nurse,ナース
circus,サーカス
reality,リアリティー
champagne,シャンパン
feedback,フィードバック
portfolio,ポートフォリオ
canvas,キャンバス
panda,パンダ
uniform,ユニホーム
running,ランニング
gel,ジェル
stainless,ステンレス
paint,ペイント
country,カントリー
businessman,ビジネスマン
preview,プレビュー
positive,ポジティブ
year,イヤー
scandal,スキャンダル
spring,スプリング
nail,ネール
tie,タイ
think,シンク
health,ヘルス
gender,ジェンダー
negative,ネガティブ
fantasy,ファンタジー
monster,モンスター
heater,ヒーター
phrase,フレーズ
supplement,サプリメント
locker,ロッカー
wood,ウッド
parsley,パセリ
figure,フィギュア
porch,ポーチ
lift,リフト
homeless,ホームレス
mascara,マスカラ
flight,フライト
setting,セッティング
prince,プリンス
wing,ウイング
coupdtat,クーデター
indu,ヒンドゥー
broccoli,ブロッコリー
wear,ウエア
spin,スピン
hat,ハット
assistant,アシスタント
agent,エージェント
timely,タイムリー
topic,トピック
eve,イブ
custom,カスタム
five,ファイブ
young,ヤング
instant,インスタント
tray,トレー
hunter,ハンター
rentacar,レンタカー
carpet,カーペット
grounder,ゴロ
minor,マイナー
iron,アイロン
garage,ガレージ
age,エージ
steroid,ステロイド
ankee,ヤンキー
library,ライブラリー
campus,キャンパス
timer,タイマー
alphabet,アルファベット
stay,ステー
knob,ノブ
ont,モン
scarf,スカーフ
toast,トースト
mental,メンタル
capital,キャピタル
coordinator,コーディネーター
trans,トランス
drill,ドリル
vanilla,バニラ
tail,テール
helicopter,ヘリ
voice,ボイス
youth,ユース
diving,ダイビング
wax,ワックス
echo,エコー
chorus,コーラス
tune,チューン
volleyball,バレーボール
franc,フラン
berry,ベリー
cursor,カーソル
pickup,ピックアップ
with,ウィズ
select,セレクト
from,フロム
spice,スパイス
visual,ビジュアル
module,モジュール
earth,アース
cotton,コットン
hostess,ホステス
lip,リップ
atopy,アトピー
eleven,イレブン
bourgeois,ブルジョア
mega,メガ
manteau,マント
six,シックス
session,セッション
colorful,カラフル
concert,コン
hiking,ハイキング
rs,ミセス
morning,モーニング
croquette,コロッケ
ksana,セツナ
booth,ブース
les,レ
asphalt,アスファルト
quality,クオリティー
shaft,シャフト
paste,ペースト
workshop,ワークショップ
cutter,カッター
theater,シアター
television,テレビジョン
pek,ペンキ
apsel,カプセル
taboo,タブー
attack,アタック
spectre,スペクトル
random,ランダム
ris,リ
war,ウォー
bodhi,ボダイ
pole,ポール
marker,マーカー
lounge,ラウンジ
antique,アンティーク
dash,ダッシュ
telephone,テレホン
hardware,ハードウェア
floppy,フロッピー
pointer,ポインター
talian,イタリアン
cocoa,ココア
roots,ルーツ
wizard,ウィザード
permanentwave,パーマ
rheumatism,リューマチ
adapter,アダプター
enom,ゲノム
chic,シック
boxing,ボクシング
crystal,クリスタル
madam,マダム
museum,ミュージアム
rook,ルーク
amplifier,アンプ
clutch,クラッチ
turbo,ターボ
recording,レコーディング
contrast,コントラスト
final,ファイナル
bull,ブル
production,プロダクション
presentation,プレゼンテーション
arm,アーム
wedding,ウエディング
puzzle,パズル
signal,シグナル
choice,チョイス
directory,ディレクトリー
torque,トルク
popular,ポピュラー
messenger,メッセンジャー
condition,コンディション
silicon,シリコン
football,フットボール
fresh,フレッシュ
handicap,ハンデ
hook,フック
universal,ユニバーサル
announce,アナウンス
after,アフター
arte,カルテ
engineer,エンジニア
blend,ブレンド
stitch,ステッチ
bond,ボンド
innovation,イノベーション
samadhi,サンマイ
tulip,チューリップ
programming,プログラミング
police,ポリス
malaria,マラリア
pill,ピル
rotestant,プロテスタント
shell,シェル
pianist,ピアニスト
fence,フェンス
watt,ワット
skin,スキン
stylist,スタイリスト
touring,ツーリング
hristian,クリスチャン
consent,コンセント
siroop,シロップ
not,ノット
highway,ハイウエー
hamburger,ハンバーガー
nine,ナイン
polo,ポロ
orgao,オルガン
trainer,トレーナー
candy,キャンデー
produce,プロデュース
aze,ガーゼ
sandwich,サンド
shadow,シャドー
scout,スカウト
bathroom,バスルーム
platform,プラットホーム
mesh,メッシュ
united,ユナイテッド
incentive,インセンティブ
condom,コンドーム
synapse,シナプス
tuner,チューナー
index,インデックス
charisma,カリスマ
stroke,ストローク
cement,セメント
putt,パット
phone,フォーン
wild,ワイルド
cherry,チェリー
beat,ビート
rough,ラフ
rifle,ライフル
dancer,ダンサー
mind,マインド
lineup,ラインアップ
initiative,イニシアチブ
candle,キャンドル
clone,クローン
documentary,ドキュメンタリー
buster,バスター
poly,ポリ
caster,キャスター
strike,ストライキ
healthy,ヘルシー
nanie,オナニー
jersey,ジャージー
have,ハブ
batter,バッター
blanc,ブラン
arena,アリーナ
ending,エンディング
gag,ギャグ
hamster,ハムスター
aero,エアロ
ketchup,ケチャップ
snap,スナップ
slim,スリム
honey,ハニー
plasma,プラズマ
holder,ホルダー
inner,インナー
only,オンリー
jogging,ジョギング
soap,ソープ
praina,ハンニャ
kalium,カリウム
serve,サーブ
joke,ジョーク
stereo,ステレオ
suitcase,スーツケース
middle,ミドル
coca,コカ
stalker,ストーカー
outdoor,アウトドア
wall,ウォール
blueberry,ブルーベリー
bowling,ボウリング
attraction,アトラクション
state,ステート
detail,ディテール
hammer,ハンマー
reporter,レポーター
study,スタディー
hearing,ヒアリング
afia,マフィア
bypass,バイパス
force,フォース
will,ウイル
stocking,ストッキング
mint,ミント
lag,ラグ
adviser,アドバイザー
globalization,グローバリゼーション
consulting,コンサルティング
consensus,コンセンサス
sexualharassment,セクハラ
come,カム
celery,セロリ
almond,アーモンド
plutonium,プルトニウム
jar,ジャー
slipper,スリッパ
brother,ブラザー
border,ボーダー
ark,マルク
sauna,サウナ
cent,セント
child,チャイルド
siren,サイレン
ienna,ウィンナ
tuning,チューニング
pornography,ポルノ
gal,ギャル
classmate,クラスメート
third,サード
foundation,ファンデーション
essence,エッセンス
stripe,ストライプ
north,ノース
push,プッシュ
grandprix,グランプリ
ti,ティ
nylon,ナイロン
beef,ビーフ
slip,スリップ
bracelet,ブレスレット
cook,コック
human,ヒューマン
uslim,ムスリム
liner,ライナー
luna,ルナ
acryl,アクリル
cruz,キリ
suspension,サスペンション
doughnut,ドーナツ
neon,ネオン
micrometer,マイクロメートル
mirra,ミイラ
comedy,コメディー
combo,コンボ
pit,ピット
lot,ロット
guidebook,ガイドブック
missa,ミサ
mosaic,モザイク
chief,チーフ
death,デス
bird,バード
romance,ロマンス
wool,ウール
cutlet,カツ
parka,パーカ
pull,プル
lure,ルアー
well,ウェル
harmony,ハーモニー
flute,フルート
working,ワーキング
festa,フェスタ
brandy,ブランデー
magnesium,マグネシウム
retro,レトロ
angle,アングル
comment,コメ
take,テーク
neo,ネオ
lavender,ラベンダー
hurdle,ハードル
multimedia,マルチメディア
river,リバー
rape,レイプ
egg,エッグ
climax,クライマックス
shuttle,シャトル
strike,ストライク
brandpunt,ピント
exercise,エクササイズ
supermarket,スーパーマーケット
heavy,ヘビー
renewal,リニューアル
cooling,クーリング
supply,サプライ
syndrome,シンドローム
propeller,プロペラ
woman,ウーマン
status,ステータス
naming,ネーミング
hula,フラ
elegant,エレガント
quick,クイック
cooking,クッキング
gorilla,ゴリラ
horror,ホラー
mixer,ミキサー
equal,イコール
east,イースト
othic,ゴシック
sailor,セーラー
now,ナウ
handsome,ハンサム
badge,バッジ
win,ウィン
peanuts,ピーナッツ
segment,セグメント
bikini,ビキニ
factor,ファクター
anchor,アンカー
smile,スマイル
azi,ナチ
brown,ブラウン
craft,クラフト
closet,クロゼット
collector,コレクター
balcony,バルコニー
heat,ヒート
bottom,ボトム
rehearsal,リハーサル
roux,ルー
crew,クルー
gauge,ゲージ
gorgeous,ゴージャス
situation,シチュエーション
sexual,セクシャル
knee,ニー
illumination,イルミネーション
sack,サック
journal,ジャーナル
styling,スタイリング
treatment,トリートメント
edge,エッジ
golfer,ゴルファー
partition,パーティション
rye,ライ
waitress,ウエートレス
canoe,カヌー
defense,ディフェンス
trump,トランプ
penalty,ペナルティー
magma,マグマ
editor,エディター
cruise,クルーズ
pierrot,ピエロ
pivot,ピボット
rat,ラット
loose,ルーズ
artell,カルテル
facsimile,ファクシミリ
crown,クラウン
save,セーブ
derivative,デリバティブ
reset,リセット
