アイ	ai
ビュオ	byuo
ツォア	tsoa
ツォイ	tsoi
ツォウ	tsou
ツォエ	tsoe
ジャイ	jai
ジャウ	jau
ジャエ	jae
ジャオ	jao
ビョア	byoa
ビョイ	byoi
ビョウ	byou
ビョエ	byoe
ジュア	jua
ジュイ	jui
ジュエ	jue
ジュオ	juo
ピャイ	pyai
ピャウ	pyau
ピャエ	pyae
ピャオ	pyao
ウィア	wia
ウィウ	wiu
ウィエ	wie
ウィオ	wio
ジョア	joa
ジョイ	joi
ジョウ	jou
ジョエ	joe
ピュア	pyua
ピュイ	pyui
ピュエ	pyue
ピュオ	pyuo
ウェア	wea
ウェイ	wei
ウェウ	weu
ウェオ	weo
チャイ	chai
チャウ	chau
チャエ	chae
チャオ	chao
ピョア	pyoa
ピョイ	pyoi
ピョウ	pyou
ピョエ	pyoe
ウォア	woa
ウォイ	woi
ウォウ	wou
ウォエ	woe
チュア	chua
チュイ	chui
チュエ	chue
チュオ	chuo
ミャイ	myai
ミャウ	myau
ミャエ	myae
ミャオ	myao
ファイ	fai
ファウ	fau
ファエ	fae
ファオ	fao
シェア	shea
シェイ	shei
シェウ	sheu
シェオ	sheo
チョア	choa
チョイ	choi
チョウ	chou
チョエ	choe
ミュア	myua
ミュイ	myui
ミュエ	myue
ミュオ	myuo
フィア	fia
フィウ	fiu
フィエ	fie
フィオ	fio
ジェア	jea
ジェイ	jei
ジェウ	jeu
ジェオ	jeo
ミョア	myoa
ミョイ	myoi
ミョウ	myou
ミョエ	myoe
フェア	fea
フェイ	fei
フェウ	feu
フェオ	feo
チェア	chea
チェイ	chei
チェウ	cheu
チェオ	cheo
リャイ	ryai
リャウ	ryau
リャエ	ryae
リャオ	ryao
フォア	foa
フォイ	foi
フォウ	fou
フォエ	foe
キャイ	kyai
キャウ	kyau
キャエ	kyae
キャオ	kyao
リュア	ryua
リュイ	ryui
リュエ	ryue
リュオ	ryuo
ヴァイ	vai
ヴァウ	vau
ヴァエ	vae
ヴァオ	vao
キュア	kyua
キュイ	kyui
キュエ	kyue
キュオ	kyuo
ニャイ	nyai
ニャウ	nyau
ニャエ	nyae
ニャオ	nyao
リュア	ryoa
リュイ	ryoi
リュウ	ryou
リュエ	ryoe
ヴィア	via
ヴィウ	viu
ヴィエ	vie
ヴィオ	vio
キョア	kyoa
キョイ	kyoi
キョウ	kyou
キョエ	kyoe
ニュア	nyua
ニュイ	nyui
ニュエ	nyue
ニュオ	nyuo
ッタイ	ttai
ッタウ	ttau
ッタエ	ttae
ッタオ	ttao
ッギア	ggia
ッギウ	ggiu
ッギエ	ggie
ッギオ	ggio
ッビア	bbia
ッビウ	bbiu
ッビエ	bbie
ッビオ	bbio
ッチア	tchia
ッチウ	tchiu
ッチエ	tchie
ッチオ	tchio
ッグア	ggua
ッグイ	ggui
ッグエ	ggue
ッグオ	gguo
ッブア	bbua
ッブイ	bbui
ッブエ	bbue
ッブオ	bbuo
ッツア	ttsua
ッツイ	ttsui
ッツエ	ttsue
ッツオ	ttsuo
ッゲア	ggea
ッゲイ	ggei
ッゲウ	ggeu
ッゲオ	ggeo
ッベア	bbea
ッベイ	bbei
ッベウ	bbeu
ッベオ	bbeo
ッテア	ttea
ッテイ	ttei
ッテウ	tteu
ッテオ	tteo
ッゴア	ggoa
ッゴイ	ggoi
ッゴウ	ggou
ッゴエ	ggoe
ッボア	bboa
ッボイ	bboi
ッボウ	bbou
ッボエ	bboe
ットア	ttoa
ットイ	ttoi
ットウ	ttou
ットエ	ttoe
ッザイ	zzai
ッザウ	zzau
ッザエ	zzae
ッザオ	zzao
ッパイ	ppai
ッパウ	ppau
ッパエ	ppae
ッパオ	ppao
ッカイ	kkai
ッカウ	kkau
ッカエ	kkae
ッカオ	kkao
ッジア	jjia
ッジウ	jjiu
ッジエ	jjie
ッジオ	jjio
ッピア	ppia
ッピウ	ppiu
ッピエ	ppie
ッピオ	ppio
ッキア	kkia
ッキウ	kkiu
ッキエ	kkie
ッキオ	kkio
ッズア	zzua
ッズイ	zzui
ッズエ	zzue
ッズオ	zzuo
ップア	ppua
ップイ	ppui
ップエ	ppue
ップオ	ppuo
ックア	kkua
ックイ	kkui
ックエ	kkue
ックオ	kkuo
ッゼア	zzea
ッゼイ	zzei
ッゼウ	zzeu
ッゼオ	zzeo
ッペア	ppea
ッペイ	ppei
ッペウ	ppeu
ッペオ	ppeo
ッケア	kkea
ッケイ	kkei
ッケウ	kkeu
ッケオ	kkeo
ッゾア	zzoa
ッゾイ	zzoi
ッゾウ	zzou
ッゾエ	zzoe
ッポア	ppoa
ッポイ	ppoi
ッポウ	ppou
ッポエ	ppoe
ッコア	kkoa
ッコイ	kkoi
ッコウ	kkou
ッコエ	kkoe
ッダイ	ddai
ッダウ	ddau
ッダエ	ddae
ッダオ	ddao
ッサイ	ssai
ッサウ	ssau
ッサエ	ssae
ッサオ	ssao
ッハイ	hhai
ッハウ	hhau
ッハエ	hhae
ッハオ	hhao
ッシア	sshia
ッシウ	sshiu
ッシエ	sshie
ッシオ	sshio
ッヒア	hhia
ッヒウ	hhiu
ッヒエ	hhie
ッヒオ	hhio
ッスア	ssua
ッスイ	ssui
ッスエ	ssue
ッスオ	ssuo
ッフア	hhua
ッフイ	hhui
ッフエ	hhue
ッフオ	hhuo
ッデア	ddea
ッデイ	ddei
ッデウ	ddeu
ッデオ	ddeo
ッセア	ssea
ッセイ	ssei
ッセウ	sseu
ッセオ	sseo
ッヘア	hhea
ッヘイ	hhei
ッヘウ	hheu
ッヘオ	hheo
ッドア	ddoa
ッドイ	ddoi
ッドウ	ddou
ッドエ	ddoe
ッソア	ssoa
ッソイ	ssoi
ッソウ	ssou
ッソエ	ssoe
ッホア	hhoa
ッホイ	hhoi
ッホウ	hhou
ッホエ	hhoe
ッガイ	ggai
ッガウ	ggau
ッガエ	ggae
ッガオ	ggao
ッバイ	bbai
ッバウ	bbau
ッバエ	bbae
ッバオ	bbao
ッティア	ttia
ッティウ	ttiu
ッティエ	ttie
ッティオ	ttio
ッヴェア	vvea
ッヴェイ	vvei
ッヴェウ	vveu
ッヴェオ	vveo
ッギャイ	ggyai
ッギャウ	ggyau
ッギャエ	ggyae
ッギャオ	ggyao
ッテゥア	ttua
ッテゥイ	ttui
ッテゥエ	ttue
ッテゥオ	ttuo
ッヴォア	vvoa
ッヴォイ	vvoi
ッヴォウ	vvou
ッヴォエ	vvoe
ッギュア	ggyua
ッギュイ	ggyui
ッギュエ	ggyue
ッギュオ	ggyuo
ッヒャイ	hhyai
ッヒャウ	hhyau
ッヒャエ	hhyae
ッヒャオ	hhyao
ッディア	ddia
ッディウ	ddiu
ッディエ	ddie
ッディオ	ddio
ッヴュア	vvyua
ッヴュイ	vvyui
ッヴュエ	vvyue
ッヴュオ	vvyuo
ッギョア	ggyoa
ッギョイ	ggyoi
ッギョウ	ggyou
ッギョエ	ggyoe
ッヒュア	hhyua
ッヒュイ	hhyui
ッヒュエ	hhyue
ッヒュオ	hhyuo
ッデゥア	ddua
ッデゥイ	ddui
ッデゥエ	ddue
ッデゥオ	dduo
ッツァイ	ttsai
ッツァウ	ttsau
ッツァエ	ttsae
ッツァオ	ttsao
ッシャイ	sshai
ッシャウ	sshau
ッシャエ	sshae
ッシャオ	sshao
ッヒョア	hhyoa
ッヒョイ	hhyoi
ッヒョウ	hhyou
ッヒョエ	hhyoe
ッテュア	ttyua
ッテュイ	ttyui
ッテュエ	ttyue
ッテュオ	ttyuo
ッツィア	ttsia
ッツィウ	ttsiu
ッツィエ	ttsie
ッツィオ	ttsio
ッシュア	sshua
ッシュイ	sshui
ッシュエ	sshue
ッシュオ	sshuo
ッビャイ	bbyai
ッビャウ	bbyau
ッビャエ	bbyae
ッビャオ	bbyao
ッデュア	ddyua
ッデュイ	ddyui
ッデュエ	ddyue
ッデュオ	ddyuo
ッツェア	ttsea
ッツェイ	ttsei
ッツェウ	ttseu
ッツェオ	ttseo
ッショア	sshoa
ッショイ	sshoi
ッショウ	sshou
ッショエ	sshoe
ッビュア	bbyua
ッビュイ	bbyui
ッビュエ	bbyue
ッビュオ	bbyuo
ッツォア	ttsoa
ッツォイ	ttsoi
ッツォウ	ttsou
ッツォエ	ttsoe
ッジャイ	jjai
ッジャウ	jjau
ッジャエ	jjae
ッジャオ	jjao
ッビョア	bbyoa
ッビョイ	bbyoi
ッビョウ	bbyou
ッビョエ	bbyoe
ッジュア	jjua
ッジュイ	jjui
ッジュエ	jjue
ッジュオ	jjuo
ッピャイ	ppyai
ッピャウ	ppyau
ッピャエ	ppyae
ッピャオ	ppyao
ッジョア	jjoa
ッジョイ	jjoi
ッジョウ	jjou
ッジョエ	jjoe
ッピュア	ppyua
ッピュイ	ppyui
ッピュエ	ppyue
ッピュオ	ppyuo
ッチャイ	tchai
ッチャウ	tchau
ッチャエ	tchae
ッチャオ	tchao
ッピョア	ppyoa
ッピョイ	ppyoi
ッピョウ	ppyou
ッピョエ	ppyoe
ッチュア	tchua
ッチュイ	tchui
ッチュエ	tchue
ッチュオ	tchuo
ッファイ	ffai
ッファウ	ffau
ッファエ	ffae
ッファオ	ffao
ッシェア	sshea
ッシェイ	sshei
ッシェウ	ssheu
ッシェオ	ssheo
ッチョア	tchoa
ッチョイ	tchoi
ッチョウ	tchou
ッチョエ	tchoe
ッフィア	ffia
ッフィウ	ffiu
ッフィエ	ffie
ッフィオ	ffio
ッジェア	jjea
ッジェイ	jjei
ッジェウ	jjeu
ッジェオ	jjeo
ッフェア	ffea
ッフェイ	ffei
ッフェウ	ffeu
ッフェオ	ffeo
ッチェア	tchea
ッチェイ	tchei
ッチェウ	tcheu
ッチェオ	tcheo
ッフォア	ffoa
ッフォイ	ffoi
ッフォウ	ffou
ッフォエ	ffoe
ッキャイ	kkyai
ッキャウ	kkyau
ッキャエ	kkyae
ッキャオ	kkyao
ッヴァイ	vvai
ッヴァウ	vvau
ッヴァエ	vvae
ッヴァオ	vvao
ッキュア	kkyua
ッキュイ	kkyui
ッキュエ	kkyue
ッキュオ	kkyuo
ッヴィア	vvia
ッヴィウ	vviu
ッヴィエ	vvie
ッヴィオ	vvio
ッキョア	kkyoa
ッキョイ	kkyoi
ッキョウ	kkyou
ッキョエ	kkyoe
